DRS,PERIODE,temperature_moyenne,temperature_max,temperature_min,precipitation,humidite,vent,rayonnement_solaire
DRS Kaffrine,2025-03-01,29.415,39.475,20.63,0.009,26.586,2.959,6.662
DRS Kaffrine,2025-04-01,31.994,41.599,23.303,0.008,29.328,3.044,7.026
DRS Kaffrine,2025-05-01,32.584,41.251,24.611,7.47,36.204,3.07,6.719
DRS Kaffrine,2025-06-01,30.912,37.69,25.185,60.429,56.106,3.25,6.297
DRS Kaffrine,2025-07-01,28.485,33.002,24.938,171.895,76.142,2.575,5.829
DRS Kaffrine,2025-08-01,27.328,30.998,24.454,352.719,85.33,2.134,5.461
DRS Kaffrine,2025-09-01,27.084,30.532,24.211,236.575,86.629,1.618,5.496
DRS Kaffrine,2025-10-01,27.062,31.289,23.528,81.258,82.288,1.338,5.482
DRS Kaffrine,2025-11-01,25.71,32.716,19.79,0.422,63.504,1.594,5.504
DRS Kaffrine,2025-12-01,24.195,32.462,17.495,1.366,47.175,2.352,4.989
DRS Kaolack,2025-01-01,24.023,33.098,16.726,0.001,41.264,2.76,5.364
DRS Kaolack,2025-02-01,26.057,35.972,18.016,0.0,33.247,2.962,5.858
DRS Kaolack,2025-03-01,28.013,38.526,19.441,0.592,35.873,3.081,6.672
DRS Kaolack,2025-04-01,30.458,40.754,21.912,0.029,37.612,3.286,6.994
DRS Kaolack,2025-05-01,31.122,40.389,23.414,10.55,43.847,3.269,6.672
DRS Kaolack,2025-06-01,29.866,36.685,24.485,69.491,61.532,3.196,6.219
DRS Kaolack,2025-07-01,28.354,32.799,24.939,177.884,76.676,2.558,5.697
DRS Kaolack,2025-08-01,27.369,30.966,24.641,327.162,85.235,2.148,5.254
DRS Kaolack,2025-09-01,27.227,30.69,24.445,245.319,86.181,1.628,5.411
DRS Kaolack,2025-10-01,27.316,31.608,23.841,86.716,81.311,1.359,5.458
DRS Kaolack,2025-11-01,26.042,33.068,20.152,0.754,62.79,1.624,5.502
DRS Kaolack,2025-12-01,24.084,32.076,17.543,1.289,49.241,2.303,5.01
DRS Kedougou,2025-01-01,26.981,37.081,18.456,0.0,26.585,2.452,5.736
DRS Kedougou,2025-02-01,29.842,39.575,21.12,0.0,18.184,2.388,6.037
DRS Kedougou,2025-03-01,32.452,41.277,23.808,0.304,19.628,2.338,6.656
DRS Kedougou,2025-04-01,34.325,42.42,26.334,3.678,24.992,2.635,6.946
DRS Kedougou,2025-05-01,33.358,40.274,26.959,67.012,42.652,2.593,6.178
DRS Kedougou,2025-06-01,28.63,33.198,24.688,460.218,74.452,2.144,5.721
DRS Kedougou,2025-07-01,26.469,29.749,23.662,388.891,87.542,1.918,5.103
DRS Kedougou,2025-08-01,25.95,29.064,23.262,588.666,89.731,1.885,4.934
DRS Kedougou,2025-09-01,26.238,29.499,23.268,403.72,88.194,1.429,5.207
DRS Kedougou,2025-10-01,26.506,30.383,23.045,160.634,84.298,1.169,5.12
DRS Kedougou,2025-11-01,25.394,31.673,20.021,3.903,68.806,1.304,5.624
DRS Kedougou,2025-12-01,24.907,33.817,17.99,0.373,48.701,1.982,5.221
DRS Kolda,2025-01-01,23.583,32.63,16.081,0.0,48.253,2.419,5.498
DRS Kolda,2025-02-01,26.219,35.859,18.174,0.0,37.135,2.387,5.911
DRS Kolda,2025-03-01,29.124,38.902,20.49,0.072,34.03,2.431,6.714
DRS Kolda,2025-04-01,31.816,41.006,23.382,0.007,35.584,2.612,6.998
DRS Kolda,2025-05-01,32.354,40.342,25.059,22.067,41.515,2.798,6.516
DRS Kolda,2025-06-01,29.693,35.287,24.944,135.155,66.252,2.632,5.932
DRS Kolda,2025-07-01,27.382,30.996,24.526,330.812,84.68,2.24,5.324
DRS Kolda,2025-08-01,26.798,30.103,24.192,412.741,88.445,2.121,5.083
DRS Kolda,2025-09-01,26.761,30.01,24.03,313.199,88.514,1.615,5.231
DRS Kolda,2025-10-01,26.782,30.466,23.568,149.322,85.205,1.252,5.325
DRS Kolda,2025-11-01,25.484,31.423,20.148,2.756,71.462,1.412,5.486
DRS Kolda,2025-12-01,23.295,30.627,17.077,2.393,60.298,2.046,5.056
DRS Louga,2025-01-01,24.109,32.732,17.477,0.121,33.009,3.592,5.176
DRS Louga,2025-02-01,25.376,34.731,18.202,0.0,30.738,3.947,5.769
DRS Louga,2025-03-01,26.536,36.555,18.91,0.381,38.944,3.924,6.819
DRS Louga,2025-04-01,28.329,38.374,20.797,0.067,43.206,4.461,7.105
DRS Louga,2025-05-01,29.576,38.93,22.431,0.767,46.81,4.193,6.799
DRS Louga,2025-06-01,30.287,38.013,24.298,27.228,54.484,3.945,6.41
DRS Louga,2025-07-01,29.434,34.855,25.148,122.489,65.927,3.388,5.96
DRS Louga,2025-08-01,28.415,32.41,25.229,222.987,77.4,2.608,5.719
DRS Louga,2025-09-01,28.128,31.982,25.078,150.674,80.145,2.065,5.708
DRS Louga,2025-10-01,28.337,33.605,24.284,29.281,71.285,1.848,5.608
DRS Louga,2025-11-01,26.702,34.827,20.317,0.754,47.153,2.399,5.459
DRS Louga,2025-12-01,24.609,32.772,18.301,4.081,36.811,3.202,4.832
DRS Matam,2025-01-01,24.481,33.579,17.148,0.005,22.708,3.507,5.288
DRS Matam,2025-02-01,27.086,36.358,19.242,0.0,16.514,3.478,5.835
DRS Matam,2025-03-01,30.102,39.427,21.471,0.164,16.456,3.168,6.77
DRS Matam,2025-04-01,33.725,42.358,25.192,0.068,17.565,3.554,7.125
DRS Matam,2025-05-01,35.562,43.15,27.708,5.108,20.502,3.252,6.84
DRS Matam,2025-06-01,34.574,41.168,28.158,43.679,36.739,3.346,6.462
DRS Matam,2025-07-01,30.797,35.949,26.208,212.014,61.506,3.015,6.018
DRS Matam,2025-08-01,28.604,32.896,24.921,249.036,77.249,2.431,5.762
DRS Matam,2025-09-01,28.035,32.244,24.569,175.274,80.719,1.958,5.78
DRS Matam,2025-10-01,28.105,33.781,23.481,26.979,70.528,1.727,5.61
DRS Matam,2025-11-01,25.782,34.175,18.954,0.402,47.682,2.265,5.495
DRS Matam,2025-12-01,24.309,32.786,17.618,0.938,32.181,3.202,4.818
DRS Saint-Louis,2025-01-01,23.896,32.502,17.099,0.136,28.642,3.614,5.063
DRS Saint-Louis,2025-02-01,25.568,34.728,18.196,0.0,25.134,3.846,5.667
DRS Saint-Louis,2025-03-01,27.43,37.132,19.356,0.0,30.038,3.699,6.749
DRS Saint-Louis,2025-04-01,29.999,39.611,22.031,0.098,33.282,4.26,7.093
DRS Saint-Louis,2025-05-01,31.682,40.75,23.99,1.536,35.766,4.068,6.926
DRS Saint-Louis,2025-06-01,32.307,40.134,25.607,14.114,44.498,3.982,6.606
DRS Saint-Louis,2025-07-01,30.852,36.88,25.86,83.276,58.14,3.748,6.294
DRS Saint-Louis,2025-08-01,29.9,34.757,25.886,169.072,68.715,2.948,6.15
DRS Saint-Louis,2025-09-01,29.506,34.326,25.631,105.32,71.376,2.403,5.905
DRS Saint-Louis,2025-10-01,29.71,36.056,24.677,20.68,59.696,2.123,5.657
DRS Saint-Louis,2025-11-01,27.086,35.5,20.281,0.902,38.912,2.621,5.38
DRS Saint-Louis,2025-12-01,24.602,32.749,18.21,4.285,31.808,3.328,4.704
DRS Sedhiou,2025-01-01,22.62,30.363,15.736,0.0,61.083,1.887,5.492
DRS Sedhiou,2025-02-01,24.263,32.851,16.996,0.0,54.957,1.891,5.887
DRS Sedhiou,2025-03-01,26.635,36.028,18.694,0.555,52.118,1.908,6.687
DRS Sedhiou,2025-04-01,29.735,39.154,21.716,0.002,47.389,2.092,6.978
DRS Sedhiou,2025-05-01,30.788,39.006,23.85,22.269,50.073,2.187,6.516
DRS Sedhiou,2025-06-01,28.608,33.894,24.379,145.277,73.118,1.935,5.817
DRS Sedhiou,2025-07-01,26.938,30.266,24.427,413.502,87.604,1.788,5.087
DRS Sedhiou,2025-08-01,26.595,29.789,24.223,466.181,89.567,1.793,4.808
DRS Sedhiou,2025-09-01,26.62,29.753,24.091,417.237,89.678,1.4,5.048
DRS Sedhiou,2025-10-01,26.692,30.043,23.792,212.743,86.906,1.085,5.259
DRS Sedhiou,2025-11-01,25.72,30.896,20.884,4.286,74.995,1.166,5.475
DRS Sedhiou,2025-12-01,23.045,29.482,17.255,1.742,68.394,1.613,5.086
DRS Tambacounda,2025-01-01,25.593,35.399,17.491,0.0,26.166,3.201,5.524
DRS Tambacounda,2025-02-01,28.546,38.293,20.024,0.001,17.152,3.173,5.951
DRS Tambacounda,2025-03-01,31.65,40.983,22.756,0.026,16.475,2.861,6.699
DRS Tambacounda,2025-04-01,34.479,42.999,25.899,0.046,19.552,2.922,7.026
DRS Tambacounda,2025-05-01,35.109,42.456,27.721,18.874,28.073,2.908,6.57
DRS Tambacounda,2025-06-01,31.896,37.902,26.626,110.928,54.881,2.99,6.148
DRS Tambacounda,2025-07-01,28.41,32.6,24.981,209.689,77.875,2.46,5.474
DRS Tambacounda,2025-08-01,27.258,30.868,24.252,315.386,85.325,2.128,5.235
DRS Tambacounda,2025-09-01,27.112,30.545,24.142,227.72,86.284,1.567,5.395
DRS Tambacounda,2025-10-01,27.273,31.646,23.47,71.432,80.465,1.352,5.404
DRS Tambacounda,2025-11-01,25.483,32.94,19.241,0.59,61.458,1.74,5.51
DRS Tambacounda,2025-12-01,24.299,33.194,17.275,0.966,42.882,2.703,5.025
DRS Thies,2025-01-01,23.454,30.777,18.044,6.715,48.721,3.508,5.179
DRS Thies,2025-02-01,23.815,32.333,18.102,5.847,48.393,4.047,5.761
DRS Thies,2025-03-01,23.791,32.811,18.042,3.801,58.56,4.126,6.721
DRS Thies,2025-04-01,25.066,33.864,19.497,2.959,61.622,4.311,7.031
DRS Thies,2025-05-01,26.519,34.237,21.403,6.082,64.019,3.87,6.721
DRS Thies,2025-06-01,27.821,33.477,23.794,38.029,68.768,3.5,6.332
DRS Thies,2025-07-01,28.314,32.214,25.398,108.086,73.68,3.164,5.834
DRS Thies,2025-08-01,28.041,30.989,25.802,216.415,80.262,2.831,5.333
DRS Thies,2025-09-01,27.909,30.878,25.669,203.406,82.185,2.212,5.446
DRS Thies,2025-10-01,27.964,31.696,25.069,61.301,77.749,1.882,5.511
DRS Thies,2025-11-01,26.378,32.559,21.603,3.631,63.227,2.356,5.447
DRS Thies,2025-12-01,24.343,31.231,19.059,5.208,51.234,3.108,4.904
DRS Ziguinchor,2025-01-01,23.424,30.372,17.471,0.482,60.914,1.354,5.449
DRS Ziguinchor,2025-02-01,24.918,33.378,18.254,0.548,53.659,1.356,5.876
DRS Ziguinchor,2025-03-01,26.36,35.593,19.418,5.408,53.82,1.388,6.704
DRS Ziguinchor,2025-04-01,28.178,37.37,21.256,0.35,54.305,1.474,6.761
DRS Ziguinchor,2025-05-01,28.972,36.665,23.165,11.832,58.988,1.5,6.332
DRS Ziguinchor,2025-06-01,28.134,33.04,24.586,135.384,75.146,1.392,5.582
DRS Ziguinchor,2025-07-01,27.161,30.087,25.146,361.787,86.306,1.394,4.829
DRS Ziguinchor,2025-08-01,26.746,29.312,25.008,443.632,89.358,1.422,4.557
DRS Ziguinchor,2025-09-01,26.801,29.284,24.949,393.61,89.592,1.115,4.94
DRS Ziguinchor,2025-10-01,26.938,29.527,24.79,186.616,87.313,0.916,5.11
DRS Ziguinchor,2025-11-01,26.028,30.066,22.266,3.921,76.923,0.973,5.46
DRS Ziguinchor,2025-12-01,23.399,28.751,18.636,3.35,70.271,1.22,5.072
